"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"40000021","Ian Dodge","SCS3","National Director: Commissioning Strategy","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000002","932731","1.00","165000","169999","","Policy","Salary cost of direct reports also includes cost of direct reports from Michael Macdonnell and Robert Ricketts","1"
"40000022","Ivan Ellul","SCS2","Director of Commissioning Development and Planning","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000021","483042","1.00","135000","139999","","Policy","","1"
"40000023","Vacant","SCS2","Chief Analyst","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","N/A","england.contactus@nhs.net","40000021","0","1.00","N/A","N/A","","Statisticians","Post became vacant on 1st June 2016","1"
"40000024","Vacant","SCS2","Director of Policy, Partnerships and Innovation","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","N/A","england.contactus@nhs.net","40000021","0","1.00","N/A","N/A","","Policy","Post became vacant on 21st August 2016","1"
"40000025","Samantha Jones","SCS2","Director of New Care Models","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000021","916248","1.00","190000","194999","","Policy","Samantha Jones is seconded into NHS England from West Hertfordshire Hospitals NHS Trust. Salary cost of direct reports also includes cost of direct reports from Paul Taylor","1"
"40000026","Michael Macdonnell","SCS2","Director: Strategy Group","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000021","N/D","1.00","125000","129999","","Policy","The team is too small to detail. The salary cost of direct reports has been included under Ian Dodge","1"
"40000027","Dr David Pencheon","SCS2","Director of Sustainable Development Unit","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000289","N/D","1.00","100000","104999","","Policy","The Sustainable Development Unit temporarily reports to the Director of Personalisation and Choice, whilst the post of Director of Policy, Partnerships and Innovation remains vacant.  The team is too small to detail. The salary cost of direct reports has been included under James Sanderson","1"
"40000028","Robert Ricketts","SCS2","Director of Commissioning Support Services Strategy","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000021","N/D","0.60","80000","84999","","Policy","Robert Ricketts is seconded into NHS England from Department of Health. The team is too small to detail. The salary cost of direct reports has been included under Ian Dodge","1"
"40000289","James Sanderson","SCS2","Director of Personalisation and Choice","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000021","955966","1.00","130000","134999","","Policy","Salary cost of direct reports also includes cost of direct reports from David Pencheon","1"
"40000029","Paul Taylor","SCS2","Head of Finance (New Care Models)","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000025","N/D","0.40","165000","169999","","Finance","Paul Taylor is contracted into NHS England from NHS Elect. The team is too small to detail. The salary cost of direct reports has been included under Samantha Jones","1"
"40000030","Antony Tiernan","SCS2","Programme Director: Engagement and Communications (New Care Models)","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000025","241145","1.00","110000","114999","","Communications","Antony Tiernan is seconded into NHS England from West Hertfordshire Hospitals NHS Trust.","1"
"40000031","Louise Watson","SCS2","National Multispeciality Community Provider Lead","The core purpose of the Commissioning Strategy Directorate is to be provide policy, strategy and analytical leadership for major national programmes of work to transform the NHS.  This includes the New Care Models and Personalisation and Choice programmes in support of the delivery of the NHS Five Year Forward View.","Department of Health","NHS England","Commissioning Strategy","0300 311 22 33","england.contactus@nhs.net","40000025","380067","1.00","130000","134999","","Planning","","1"
"40000032","Paul Baumann","SCS3","Chief Financial Officer","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000002","718170","1.00","205000","209999","","Finance","Salary cost of direct reports also includes cost of direct reports from Matthew Cripps and Sam Higginson","1"
"40000033","Peter Brazel","SCS2","Head of Project Appraisals and Contracts","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000035","798217","1.00","110000","114999","","Finance","","1"
"40000264","Matthew Cripps","SCS2","National NHS Right Care Director","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000032","N/D","1.00","110000","114999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Paul Baumann","1"
"40000034","Simon Currie","SCS2","Director of Financial Planning and Delivery","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000032","477983","1.00","135000","139999","","Finance","","1"
"40000035","Sam Higginson","SCS2","Director of Strategic Finance","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000032","N/D","1.00","140000","144999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Paul Baumann","1"
"40000036","Andrew Jackson","SCS2","Acting Director of Operational Information for Commissioning","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000009","0","1.00","85000","89999","","Operational Delivery","Andrew Jackson is seconded into NHS England from Department of Health.","1"
"40000037","Vacant","SCS2","Director of Financial Control","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","N/A","england.contactus@nhs.net","40000032","0","1.00","0","0","","Finance","Post became vacant on 1st September 2016","1"
"40000039","Jane Barnacle","SCS2","Regional Director of Patients and Information (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","N/D","1.00","115000","119999","","Knowledge and Information Management (KIM)","The team is too small to detail. The salary cost of direct reports has been included under Anne Rainsberry","1"
"40000042","Helen Bullers","SCS2","Regional Director of People and Organisation Development (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","N/D","1.00","115000","119999","","Human Resources","The team is too small to detail. The salary cost of direct reports has been included under Anne Rainsberry","1"
"40000038","Jane Clegg","SCS2","Interim Regional Chief Nurse (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","540163","1.00","125000","129999","","Medicine","Salary cost of direct reports also includes cost of direct reports from Martin Machray and Vanessa Lodge","1"
"40000044","Dr David Finch","SCS2","Medical Director (North West London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000054","N/D","0.75","100000","104999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Mitchell","1"
"40000045","Dr Jane Fryer","SCS2","Medical Director (South London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000054","N/D","0.90","120000","124999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Mitchell","1"
"40000046","Andrew Goodman","SCS2","Interim Director of Contracting / North, Central and East London Locality Lead","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000049","0","1.00","195000","199999","","Operational Delivery","","1"
"40000048","Dr Henrietta Hughes","SCS2","Medical Director (North, Central and East London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000054","N/D","0.90","120000","124999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Mitchell","1"
"40000049","Will Huxter","SCS2","Regional Director of Specialised Commissioning (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","648404","1.00","125000","129999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Shekh Motin","1"
"40000050","Richard Jeffery","SCS2","Regional Director of Financial Management (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000060","N/D","1.00","110000","114999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under David Slegg","1"
"40000051","Vanessa Lodge","SCS2","Director of Nursing (North, Central and East London) and Regional Safeguarding Lead","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000038","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Jane Clegg","1"
"40000059","Martin Machray","SCS2","Director of Nursing (North West London) and Regional Lead for Patient Safety and Patient and Public Voice","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000038","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Jane Clegg","1"
"40000052","Dr Michael Marsh","SCS2","Medical Director, Specialised Services (London)","At a regional level to provide specialist clinical expertise for Specialised Commissioning delivery, assurance and commissioning arrangements.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000049","0","1.00","180000","184999","","Medicine","","1"
"40000053","Khadir Meer","SCS2","Regional Director of Delivery (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","393562","1.00","120000","124999","","Operational Delivery","","1"
"40000054","Dr Andrew Mitchell","SCS2","Regional Medical Director (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","1406543","1.00","150000","154999","","Medicine","Salary cost of direct reports also includes cost of direct reports from David Finch, Henrietta Hughe, sJane Fryer and Stephen Spencer","1"
"40000055","Shekh Motin","SCS2","Regional Director of Finance: Specialised Commissioning (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000049","N/D","1.00","110000","114999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Will Huxter","1"
"40000056","Joanne Murfitt","SCS2","Regional Director of Public Health Commissioning, Health in Justice and Military Health (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","N/D","1.00","105000","109999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Simon  Weldon","1"
"40000057","Dr Anne Rainsberry","SCS2","Regional Director (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000009","524309","1.00","165000","169999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Helen Bullers and Jane Barnacle","1"
"40000058","Stuart Saw","SCS2","Regional Director of Financial Strategy (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000060","N/D","1.00","120000","124999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under David Slegg","1"
"40000060","David Slegg","SCS2","Regional Director of Finance (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","413658","1.00","140000","144999","","Finance","Salary cost of direct reports also includes cost of direct reports from Richard Jeffery and Stuart Saw","1"
"40000061","Dr Stephen Spencer","SCS2","Regional Deputy Medical Director and Director of Quality and Service Design (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000054","N/D","1.00","145000","149999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Mitchell","1"
"40000063","Matthew Trainer","SCS2","Director of Operations and Information (South London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","N/D","1.00","125000","129999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Simon  Weldon","1"
"40000041","Vacant","SCS2","Regional Director of Financial Assurance (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","N/A","england.contactus@nhs.net","40000060","0","1.00","N/A","N/A","","Finance","Post became vacant on 30th February 2016","1"
"40000043","Gwendoline Kennedy","SCS2","Interim Director of Nursing - Out of Hours Nursing (South London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000038","0","1.00","105000","109999","","Medicine","Gwendoline Kennedy is seconded into NHS England from Southwark Clinical Commissioning Group.","1"
"40000064","Simon Weldon","SCS2","Regional Chief Operating Officer (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000057","682953","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Ceri Jacob, Jo Ohlson, Joanne Murfitt and Matthew Trainer","1"
"40000065","Richard Wells","SCS2","Regional Director of Planning and Information (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","0","1.00","110000","114999","","Knowledge and Information Management (KIM)","","1"
"40000062","Liz Wise","SCS2","Regional Director of Primary Care (London)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","London Region","0300 311 22 33","england.contactus@nhs.net","40000064","448949","1.00","125000","129999","","Operational Delivery","","1"
"40000068","Simon Bennett","SCS2","Director of Clinical Policy and  Professional Standards","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","120000","124999","","Policy","The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000005","Ian Biggs","SCS2","Programme Director - Primary Care","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","N/D","1.00","140000","144999","","Policy","The team is too small to detail. The salary cost of direct reports has been included under Rosamond Roughton","1"
